
Chýbajú : zoznam vysielačov, z ktorých nedisponujeme signálom
x_opt   : lokalizácia zariadenia pri chýbajúcom signále


x_optimal = (1.0723774, 0.89299393)


Chýbajú		         x_opt		      ||x_optimal - x_opt||_2    ||F(x_opt)||_2^2
–––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––
(1, 2)		[3.38772511 2.61142248] 	2.8833715832235836 	2.927121871461206
(1, 3)		[3.00254239 2.9534369 ] 	2.8232892375124212 	2.473256020862459
(1, 4)		[1.97561499 3.06754051] 	2.3546742888634746 	2.132162721101682
(1, 5)		[1.10662189 0.8785986 ] 	0.03714714579947879 	0.0014888154292255966
(2, 3)		[1.05308698 0.90970158] 	0.0255199115238756 	0.0008757595104605608
(2, 4)		[0.81728509 1.74952597] 	0.8937109280733831 	0.5002519629632002
(2, 5)		[1.07538897 0.89881205] 	0.006551348859827303 	0.0008373049002321578
(3, 4)		[1.07166289 0.88108869] 	0.011926653371891395 	0.0011109365496423792
(3, 5)		[1.05939283 0.89717724] 	0.01364181923152599 	0.0008054627675903939
(4, 5)		[1.12002882 0.85896979] 	0.05855168232286822 	0.0018610964733539479
(1, 2, 3)	[3.51771215 2.83461038] 	3.122424775503891 	4.132159082817991
(1, 2, 4)	[1.63352112 2.94507039] 	2.127416289907129 	2.177157253213954
(1, 2, 5)	[3.21981367 1.47695161] 	2.225418864796153 	2.0544109404386077
(1, 3, 4)	[1.96285695 3.10714211] 	2.386504978459858 	2.1200593078319394
(1, 3, 5)	[0.5224045  1.30407353] 	0.686626997151974 	0.30681211256246094
(1, 4, 5)	[2.18324758 2.98649518] 	2.3699747008948235 	2.095041449834169
(2, 3, 4)	[0.95475198 2.01498019] 	1.1281351521616623 	1.0592772294128046
(2, 3, 5)	[0.99335398 0.94699735] 	0.09571348003760213 	0.00417977588143995
(3, 4, 5)	[1.91079251 0.8725041 ] 	0.8386654411683365 	0.5901779968138708
(2, 4, 5)	[0.75797144 1.60906251] 	0.7820519932960529 	0.2943617645041604
(1, 2, 3, 4) 	[1.94687128 3.10134939] 	2.375199651388147 	2.1224345474573445
(2, 3, 4, 5) 	[1.61125534 2.24170226] 	1.4523786073005995 	3.5595475637510567
(1, 3, 4, 5) 	[1.73533943 3.17669713] 	2.3779863320611465 	2.098493431743549
(1, 2, 4, 5) 	[1.8580667  2.99191635] 	2.241156625887675 	2.214958811327927
(1, 2, 3, 5) 	[1.8        4.24999925] 	3.4349555162222085 	8.094401517648521
